class,precision,recall,f1-score,support
Apple___Apple_scab,0.96875,0.9893617021276596,0.9789473684210527,94
Apple___Black_rot,0.9393939393939394,1.0,0.96875,93
Apple___Cedar_apple_rust,0.9534883720930233,1.0,0.9761904761904762,41
Apple___healthy,0.8166089965397924,0.9554655870445344,0.8805970149253731,247
Blueberry___healthy,0.9868421052631579,1.0,0.9933774834437086,225
Cherry_(including_sour)___Powdery_mildew,0.9005847953216374,0.9746835443037974,0.9361702127659575,158
Cherry_(including_sour)___healthy,1.0,1.0,1.0,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.6178861788617886,0.987012987012987,0.76,77
Corn_(maize)___Common_rust_,1.0,0.9832402234636871,0.9915492957746479,179
Corn_(maize)___Northern_Leaf_Blight,0.970873786407767,0.6756756756756757,0.796812749003984,148
Corn_(maize)___healthy,1.0,1.0,1.0,174
Grape___Black_rot,0.9723756906077348,0.9943502824858758,0.9832402234636871,177
Grape___Esca_(Black_Measles),0.9950980392156863,0.9806763285024155,0.9878345498783455,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161
Grape___healthy,0.5727272727272728,1.0,0.7283236994219653,63
Orange___Haunglongbing_(Citrus_greening),0.9947159841479525,0.9116222760290557,0.9513581806696146,826
Peach___Bacterial_spot,0.9289617486338798,0.9855072463768116,0.9563994374120957,345
Peach___healthy,0.7105263157894737,1.0,0.8307692307692308,54
"Pepper,_bell___Bacterial_spot",0.9056603773584906,0.96,0.9320388349514563,150
"Pepper,_bell___healthy",0.7977941176470589,0.9774774774774775,0.8785425101214575,222
Potato___Early_blight,0.9866666666666667,0.9866666666666667,0.9866666666666667,150
Potato___Late_blight,0.8963414634146342,0.98,0.9363057324840764,150
Potato___healthy,0.35384615384615387,1.0,0.5227272727272727,23
Raspberry___healthy,1.0,1.0,1.0,56
Soybean___healthy,1.0,0.7447643979057592,0.8537134283570893,764
Squash___Powdery_mildew,0.9963369963369964,0.9890909090909091,0.9927007299270073,275
Strawberry___Leaf_scorch,0.9880239520958084,0.9939759036144579,0.990990990990991,166
Strawberry___healthy,0.9577464788732394,1.0,0.9784172661870504,68
Tomato___Bacterial_spot,0.9025157232704403,0.8996865203761756,0.9010989010989011,319
Tomato___Early_blight,0.7525773195876289,0.9733333333333334,0.8488372093023255,150
Tomato___Late_blight,0.9676113360323887,0.8356643356643356,0.8968105065666041,286
Tomato___Leaf_Mold,0.9096774193548387,0.986013986013986,0.9463087248322147,143
Tomato___Septoria_leaf_spot,0.9918032786885246,0.9097744360902256,0.9490196078431372,266
Tomato___Spider_mites Two-spotted_spider_mite,0.6273972602739726,0.9123505976095617,0.7435064935064936,251
Tomato___Target_Spot,0.8055555555555556,0.9620853080568721,0.8768898488120951,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9968503937007874,0.7873134328358209,0.8797776233495483,804
Tomato___Tomato_mosaic_virus,0.875,1.0,0.9333333333333333,56
Tomato___healthy,0.9875518672199171,0.99581589958159,0.9916666666666667,239
