class,precision,recall,f1-score,support
Apple___Apple_scab,0.8555555555555555,0.8191489361702128,0.8369565217391305,94
Apple___Black_rot,0.8953488372093024,0.8279569892473119,0.8603351955307262,93
Apple___Cedar_apple_rust,0.9111111111111111,1.0,0.9534883720930233,41
Apple___healthy,0.9535864978902954,0.9149797570850202,0.9338842975206612,247
Blueberry___healthy,0.8987341772151899,0.9466666666666667,0.922077922077922,225
Cherry_(including_sour)___Powdery_mildew,0.9570552147239264,0.9873417721518988,0.9719626168224299,158
Cherry_(including_sour)___healthy,0.8493150684931506,0.96875,0.9051094890510949,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.6483516483516484,0.7662337662337663,0.7023809523809523,77
Corn_(maize)___Common_rust_,0.9937106918238994,0.88268156424581,0.9349112426035503,179
Corn_(maize)___Northern_Leaf_Blight,0.8493150684931506,0.8378378378378378,0.8435374149659864,148
Corn_(maize)___healthy,0.8398058252427184,0.9942528735632183,0.9105263157894737,174
Grape___Black_rot,0.9751552795031055,0.8870056497175142,0.9289940828402367,177
Grape___Esca_(Black_Measles),0.953125,0.8840579710144928,0.9172932330827067,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9928057553956835,0.8571428571428571,0.92,161
Grape___healthy,0.8955223880597015,0.9523809523809523,0.9230769230769231,63
Orange___Haunglongbing_(Citrus_greening),0.9318955732122588,0.9939467312348669,0.9619214997070885,826
Peach___Bacterial_spot,0.9570552147239264,0.9043478260869565,0.9299552906110283,345
Peach___healthy,0.7464788732394366,0.9814814814814815,0.848,54
"Pepper,_bell___Bacterial_spot",0.5355805243445693,0.9533333333333334,0.6858513189448441,150
"Pepper,_bell___healthy",0.6872964169381107,0.9504504504504504,0.7977315689981096,222
Potato___Early_blight,0.9416666666666667,0.7533333333333333,0.837037037037037,150
Potato___Late_blight,0.8699186991869918,0.7133333333333334,0.7838827838827839,150
Potato___healthy,0.4473684210526316,0.7391304347826086,0.5573770491803278,23
Raspberry___healthy,0.7910447761194029,0.9464285714285714,0.8617886178861789,56
Soybean___healthy,0.9785407725321889,0.8952879581151832,0.935064935064935,764
Squash___Powdery_mildew,0.9903846153846154,0.7490909090909091,0.8530020703933747,275
Strawberry___Leaf_scorch,0.9085365853658537,0.8975903614457831,0.9030303030303031,166
Strawberry___healthy,0.6075949367088608,0.7058823529411765,0.6530612244897959,68
Tomato___Bacterial_spot,0.9039039039039038,0.9435736677115988,0.9233128834355828,319
Tomato___Early_blight,0.6258064516129033,0.6466666666666666,0.6360655737704918,150
Tomato___Late_blight,0.7554858934169278,0.8426573426573427,0.7966942148760331,286
Tomato___Leaf_Mold,0.7135135135135136,0.9230769230769231,0.8048780487804879,143
Tomato___Septoria_leaf_spot,0.8305084745762712,0.5526315789473685,0.6636568848758465,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9024390243902439,0.5896414342629482,0.7132530120481928,251
Tomato___Target_Spot,0.6629834254143646,0.5687203791469194,0.6122448979591837,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9018691588785047,0.9601990049751243,0.9301204819277108,804
Tomato___Tomato_mosaic_virus,0.5443037974683544,0.7678571428571429,0.6370370370370371,56
Tomato___healthy,0.8901098901098901,0.6778242677824268,0.7695961995249406,239
