class,precision,recall,f1-score,support
Apple___Apple_scab,0.9894736842105263,1.0,0.9947089947089947,94
Apple___Black_rot,1.0,1.0,1.0,93
Apple___Cedar_apple_rust,1.0,1.0,1.0,41
Apple___healthy,1.0,0.9959514170040485,0.9979716024340771,247
Blueberry___healthy,1.0,1.0,1.0,225
Cherry_(including_sour)___Powdery_mildew,1.0,0.9873417721518988,0.9936305732484076,158
Cherry_(including_sour)___healthy,1.0,0.9921875,0.996078431372549,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9102564102564102,0.922077922077922,0.9161290322580645,77
Corn_(maize)___Common_rust_,1.0,0.994413407821229,0.9971988795518207,179
Corn_(maize)___Northern_Leaf_Blight,0.9463087248322147,0.9527027027027027,0.9494949494949495,148
Corn_(maize)___healthy,1.0,1.0,1.0,174
Grape___Black_rot,0.9943820224719101,1.0,0.9971830985915493,177
Grape___Esca_(Black_Measles),1.0,0.9951690821256038,0.9975786924939467,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9937888198757764,0.9968847352024922,161
Grape___healthy,0.984375,1.0,0.9921259842519685,63
Orange___Haunglongbing_(Citrus_greening),1.0,0.9987893462469734,0.9993943064809206,826
Peach___Bacterial_spot,0.9913793103448276,1.0,0.9956709956709957,345
Peach___healthy,1.0,1.0,1.0,54
"Pepper,_bell___Bacterial_spot",0.9868421052631579,1.0,0.9933774834437086,150
"Pepper,_bell___healthy",0.9910714285714286,1.0,0.9955156950672646,222
Potato___Early_blight,1.0,1.0,1.0,150
Potato___Late_blight,1.0,0.9933333333333333,0.9966555183946488,150
Potato___healthy,1.0,0.9130434782608695,0.9545454545454546,23
Raspberry___healthy,1.0,1.0,1.0,56
Soybean___healthy,0.9973821989528796,0.9973821989528796,0.9973821989528796,764
Squash___Powdery_mildew,1.0,0.9963636363636363,0.9981785063752276,275
Strawberry___Leaf_scorch,1.0,1.0,1.0,166
Strawberry___healthy,1.0,1.0,1.0,68
Tomato___Bacterial_spot,0.9578313253012049,0.9968652037617555,0.9769585253456221,319
Tomato___Early_blight,0.9712230215827338,0.9,0.9342560553633218,150
Tomato___Late_blight,0.9859154929577465,0.9790209790209791,0.9824561403508771,286
Tomato___Leaf_Mold,0.9928057553956835,0.965034965034965,0.9787234042553191,143
Tomato___Septoria_leaf_spot,0.9672727272727273,1.0,0.9833641404805915,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9914529914529915,0.9243027888446215,0.9567010309278351,251
Tomato___Target_Spot,0.92,0.981042654028436,0.9495412844036697,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9850746268656716,0.9924812030075187,804
Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,56
Tomato___healthy,0.956,1.0,0.9775051124744376,239
