class,precision,recall,f1-score,support
Apple___Apple_scab,1.0,1.0,1.0,94
Apple___Black_rot,1.0,1.0,1.0,93
Apple___Cedar_apple_rust,1.0,1.0,1.0,41
Apple___healthy,0.9182156133828996,1.0,0.9573643410852714,247
Blueberry___healthy,1.0,0.9822222222222222,0.9910313901345291,225
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,158
Cherry_(including_sour)___healthy,0.9920634920634921,0.9765625,0.984251968503937,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7857142857142857,1.0,0.88,77
Corn_(maize)___Common_rust_,1.0,0.9888268156424581,0.9943820224719101,179
Corn_(maize)___Northern_Leaf_Blight,0.9922480620155039,0.8648648648648649,0.924187725631769,148
Corn_(maize)___healthy,1.0,1.0,1.0,174
Grape___Black_rot,0.9833333333333333,1.0,0.9915966386554622,177
Grape___Esca_(Black_Measles),1.0,0.9903381642512077,0.9951456310679612,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9875776397515528,0.99375,161
Grape___healthy,0.984375,1.0,0.9921259842519685,63
Orange___Haunglongbing_(Citrus_greening),0.9987684729064039,0.9818401937046005,0.9902319902319903,826
Peach___Bacterial_spot,0.9854227405247813,0.9797101449275363,0.9825581395348837,345
Peach___healthy,0.8709677419354839,1.0,0.9310344827586207,54
"Pepper,_bell___Bacterial_spot",0.9493670886075949,1.0,0.974025974025974,150
"Pepper,_bell___healthy",0.9356223175965666,0.9819819819819819,0.9582417582417583,222
Potato___Early_blight,1.0,0.9866666666666667,0.9932885906040269,150
Potato___Late_blight,0.9735099337748344,0.98,0.9767441860465116,150
Potato___healthy,0.9565217391304348,0.9565217391304348,0.9565217391304348,23
Raspberry___healthy,1.0,1.0,1.0,56
Soybean___healthy,0.9945578231292517,0.9568062827225131,0.9753168779186124,764
Squash___Powdery_mildew,0.9963503649635036,0.9927272727272727,0.994535519125683,275
Strawberry___Leaf_scorch,1.0,0.9939759036144579,0.9969788519637462,166
Strawberry___healthy,1.0,1.0,1.0,68
Tomato___Bacterial_spot,0.8924418604651163,0.9623824451410659,0.9260935143288085,319
Tomato___Early_blight,0.8597560975609756,0.94,0.8980891719745223,150
Tomato___Late_blight,0.956989247311828,0.9335664335664335,0.9451327433628318,286
Tomato___Leaf_Mold,0.9857142857142858,0.965034965034965,0.9752650176678446,143
Tomato___Septoria_leaf_spot,0.9652509652509652,0.9398496240601504,0.9523809523809523,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9517543859649122,0.8645418326693227,0.906054279749478,251
Tomato___Target_Spot,0.7991803278688525,0.9241706161137441,0.8571428571428571,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9340796019900498,0.9659163987138264,804
Tomato___Tomato_mosaic_virus,0.9032258064516129,1.0,0.9491525423728814,56
Tomato___healthy,0.918918918918919,0.99581589958159,0.9558232931726908,239
