class,precision,recall,f1-score,support
Apple___Apple_scab,0.788135593220339,0.9893617021276596,0.8773584905660378,94
Apple___Black_rot,0.8611111111111112,1.0,0.9253731343283582,93
Apple___Cedar_apple_rust,1.0,1.0,1.0,41
Apple___healthy,0.9861111111111112,0.8623481781376519,0.9200863930885529,247
Blueberry___healthy,0.9954128440366973,0.9644444444444444,0.9796839729119639,225
Cherry_(including_sour)___Powdery_mildew,0.9874213836477987,0.9936708860759493,0.9905362776025236,158
Cherry_(including_sour)___healthy,0.992,0.96875,0.9802371541501976,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.6788990825688074,0.961038961038961,0.7956989247311828,77
Corn_(maize)___Common_rust_,1.0,0.9720670391061452,0.9858356940509915,179
Corn_(maize)___Northern_Leaf_Blight,0.9491525423728814,0.7567567567567568,0.8421052631578947,148
Corn_(maize)___healthy,0.9886363636363636,1.0,0.9942857142857143,174
Grape___Black_rot,0.9157303370786517,0.9209039548022598,0.9183098591549296,177
Grape___Esca_(Black_Measles),0.9545454545454546,0.9130434782608695,0.9333333333333333,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9565217391304348,0.9777777777777777,161
Grape___healthy,0.9130434782608695,1.0,0.9545454545454546,63
Orange___Haunglongbing_(Citrus_greening),1.0,0.9927360774818402,0.9963547995139733,826
Peach___Bacterial_spot,0.9789156626506024,0.9420289855072463,0.9601181683899557,345
Peach___healthy,0.8059701492537313,1.0,0.8925619834710744,54
"Pepper,_bell___Bacterial_spot",0.8682634730538922,0.9666666666666667,0.9148264984227129,150
"Pepper,_bell___healthy",0.9565217391304348,0.990990990990991,0.9734513274336283,222
Potato___Early_blight,0.9562043795620438,0.8733333333333333,0.9128919860627178,150
Potato___Late_blight,0.9516129032258065,0.7866666666666666,0.8613138686131386,150
Potato___healthy,0.4489795918367347,0.9565217391304348,0.6111111111111112,23
Raspberry___healthy,0.9322033898305084,0.9821428571428571,0.9565217391304348,56
Soybean___healthy,0.9473684210526315,0.9895287958115183,0.967989756722151,764
Squash___Powdery_mildew,0.9777777777777777,0.96,0.9688073394495413,275
Strawberry___Leaf_scorch,0.9931972789115646,0.8795180722891566,0.9329073482428115,166
Strawberry___healthy,0.7083333333333334,1.0,0.8292682926829268,68
Tomato___Bacterial_spot,0.9359756097560976,0.9623824451410659,0.9489953632148377,319
Tomato___Early_blight,0.7625,0.8133333333333334,0.7870967741935484,150
Tomato___Late_blight,0.9615384615384616,0.7867132867132867,0.8653846153846154,286
Tomato___Leaf_Mold,0.9019607843137255,0.965034965034965,0.9324324324324325,143
Tomato___Septoria_leaf_spot,0.9382716049382716,0.8571428571428571,0.8958742632612967,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9703703703703703,0.5219123505976095,0.6787564766839378,251
Tomato___Target_Spot,0.6501766784452296,0.8720379146919431,0.7449392712550608,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9948914431673053,0.9689054726368159,0.9817265280403277,804
Tomato___Tomato_mosaic_virus,0.859375,0.9821428571428571,0.9166666666666666,56
Tomato___healthy,0.7777777777777778,0.99581589958159,0.8733944954128441,239
