class,precision,recall,f1-score,support
Apple___Apple_scab,0.7319587628865979,0.7553191489361702,0.743455497382199,94
Apple___Black_rot,0.7904761904761904,0.8924731182795699,0.8383838383838383,93
Apple___Cedar_apple_rust,0.6756756756756757,0.6097560975609756,0.6410256410256411,41
Apple___healthy,0.8333333333333334,0.8704453441295547,0.8514851485148515,247
Blueberry___healthy,0.8879668049792531,0.9511111111111111,0.9184549356223176,225
Cherry_(including_sour)___Powdery_mildew,0.8780487804878049,0.9113924050632911,0.8944099378881988,158
Cherry_(including_sour)___healthy,0.9076923076923077,0.921875,0.9147286821705426,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.6268656716417911,0.5454545454545454,0.5833333333333334,77
Corn_(maize)___Common_rust_,0.9516129032258065,0.9888268156424581,0.9698630136986301,179
Corn_(maize)___Northern_Leaf_Blight,0.7905405405405406,0.7905405405405406,0.7905405405405406,148
Corn_(maize)___healthy,0.9941860465116279,0.9827586206896551,0.9884393063583815,174
Grape___Black_rot,0.8011363636363636,0.7966101694915254,0.7988668555240793,177
Grape___Esca_(Black_Measles),0.855,0.8260869565217391,0.8402948402948403,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9444444444444444,0.9503105590062112,0.9473684210526315,161
Grape___healthy,0.8852459016393442,0.8571428571428571,0.8709677419354839,63
Orange___Haunglongbing_(Citrus_greening),0.963985594237695,0.9721549636803875,0.9680530440024111,826
Peach___Bacterial_spot,0.8742857142857143,0.8869565217391304,0.8805755395683453,345
Peach___healthy,0.9,0.8333333333333334,0.8653846153846154,54
"Pepper,_bell___Bacterial_spot",0.7333333333333333,0.66,0.6947368421052632,150
"Pepper,_bell___healthy",0.8714285714285714,0.8243243243243243,0.8472222222222222,222
Potato___Early_blight,0.8580645161290322,0.8866666666666667,0.8721311475409836,150
Potato___Late_blight,0.7450980392156863,0.76,0.7524752475247525,150
Potato___healthy,0.8,0.5217391304347826,0.631578947368421,23
Raspberry___healthy,0.8703703703703703,0.8392857142857143,0.8545454545454545,56
Soybean___healthy,0.9387755102040817,0.9633507853403142,0.9509043927648578,764
Squash___Powdery_mildew,0.950354609929078,0.9745454545454545,0.9622980251346499,275
Strawberry___Leaf_scorch,0.89171974522293,0.8433734939759037,0.8668730650154799,166
Strawberry___healthy,0.8356164383561644,0.8970588235294118,0.8652482269503546,68
Tomato___Bacterial_spot,0.8825301204819277,0.9184952978056427,0.9001536098310292,319
Tomato___Early_blight,0.6864406779661016,0.54,0.6044776119402985,150
Tomato___Late_blight,0.73,0.7657342657342657,0.7474402730375427,286
Tomato___Leaf_Mold,0.7761194029850746,0.7272727272727273,0.7509025270758123,143
Tomato___Septoria_leaf_spot,0.7751004016064257,0.7255639097744361,0.7495145631067961,266
Tomato___Spider_mites Two-spotted_spider_mite,0.8195488721804511,0.8685258964143426,0.8433268858800773,251
Tomato___Target_Spot,0.7989949748743719,0.7535545023696683,0.775609756097561,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9464508094645081,0.945273631840796,0.9458618543870566,804
Tomato___Tomato_mosaic_virus,0.8823529411764706,0.8035714285714286,0.8411214953271028,56
Tomato___healthy,0.9414225941422594,0.9414225941422594,0.9414225941422594,239
