class,precision,recall,f1-score,support
Apple___Apple_scab,0.2,0.18085106382978725,0.18994413407821228,94
Apple___Black_rot,0.14457831325301204,0.25806451612903225,0.18532818532818532,93
Apple___Cedar_apple_rust,0.0958904109589041,0.5121951219512195,0.16153846153846155,41
Apple___healthy,0.31893687707641194,0.38866396761133604,0.35036496350364965,247
Blueberry___healthy,0.42323651452282157,0.4533333333333333,0.43776824034334766,225
Cherry_(including_sour)___Powdery_mildew,0.5392670157068062,0.6518987341772152,0.5902578796561605,158
Cherry_(including_sour)___healthy,0.1656441717791411,0.2109375,0.18556701030927836,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.4827586206896552,0.36363636363636365,0.4148148148148148,77
Corn_(maize)___Common_rust_,0.4479495268138801,0.7932960893854749,0.5725806451612904,179
Corn_(maize)___Northern_Leaf_Blight,0.5441176470588235,0.5,0.5211267605633803,148
Corn_(maize)___healthy,0.748898678414097,0.9770114942528736,0.8478802992518704,174
Grape___Black_rot,0.18811881188118812,0.35185185185185186,0.24516129032258063,54
Grape___Esca_(Black_Measles),0.5480225988700564,0.46634615384615385,0.5038961038961038,208
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.5527950310559007,0.5527950310559007,0.5527950310559007,161
Grape___healthy,0.1839080459770115,0.25396825396825395,0.21333333333333335,63
Orange___Haunglongbing_(Citrus_greening),0.7831932773109244,0.5641646489104116,0.6558761435608726,826
Peach___Bacterial_spot,0.47875354107648727,0.48985507246376814,0.48424068767908307,345
Peach___healthy,0.2037037037037037,0.2037037037037037,0.2037037037037037,54
"Pepper,_bell___Bacterial_spot",0.22023809523809523,0.24666666666666667,0.23270440251572327,150
"Pepper,_bell___healthy",0.23497267759562843,0.19369369369369369,0.2123456790123457,222
Potato___Early_blight,0.2953020134228188,0.29333333333333333,0.29431438127090304,150
Potato___Late_blight,0.23225806451612904,0.24,0.2360655737704918,150
Potato___healthy,0.047619047619047616,0.13043478260869565,0.06976744186046512,23
Raspberry___healthy,0.2,0.21428571428571427,0.20689655172413793,56
Soybean___healthy,0.5587248322147651,0.436435124508519,0.4900662251655629,763
Squash___Powdery_mildew,0.7083333333333334,0.68,0.6938775510204082,275
Strawberry___Leaf_scorch,0.2595419847328244,0.20481927710843373,0.22895622895622897,166
Strawberry___healthy,0.3305785123966942,0.5882352941176471,0.42328042328042326,68
Tomato___Bacterial_spot,0.34527687296416937,0.3322884012539185,0.33865814696485624,319
Tomato___Early_blight,0.13513513513513514,0.13333333333333333,0.1342281879194631,150
Tomato___Late_blight,0.3155737704918033,0.2692307692307692,0.29056603773584905,286
Tomato___Leaf_Mold,0.3047619047619048,0.22377622377622378,0.25806451612903225,143
Tomato___Septoria_leaf_spot,0.09523809523809523,0.03759398496240601,0.05390835579514825,266
Tomato___Spider_mites Two-spotted_spider_mite,0.4069400630914827,0.5139442231075697,0.45422535211267606,251
Tomato___Target_Spot,0.2964824120603015,0.2796208530805687,0.28780487804878047,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.7642980935875217,0.5485074626865671,0.6386676321506155,804
Tomato___Tomato_mosaic_virus,0.16597510373443983,0.7142857142857143,0.26936026936026936,56
Tomato___healthy,0.2868217054263566,0.30962343096234307,0.2977867203219316,239
