,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,17,2,2,9,1,0,3,0,10,0,0,2,1,0,2,1,6,0,1,3,3,1,0,0,6,5,2,2,4,1,2,2,1,1,1,1,0,2
Apple___Black_rot,0,24,3,10,1,0,8,0,5,1,0,1,0,0,3,1,4,1,0,2,2,2,0,0,6,2,8,2,0,0,2,0,1,1,0,0,0,3
Apple___Cedar_apple_rust,0,1,21,1,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,2,0,2,1,1,2,0,0,0,0
Apple___healthy,10,7,1,96,23,2,5,0,0,0,0,1,1,2,5,1,5,1,3,0,4,4,0,4,28,5,2,5,1,1,6,1,3,2,1,1,0,16
Blueberry___healthy,0,3,2,16,102,4,1,0,0,0,0,0,1,0,0,7,1,2,4,2,0,0,0,0,4,0,1,0,6,2,7,0,2,18,4,10,10,16
Cherry_(including_sour)___Powdery_mildew,0,0,2,0,4,103,2,0,4,0,1,0,0,0,0,9,4,0,7,1,0,0,0,0,1,2,0,0,3,1,6,3,0,0,0,5,0,0
Cherry_(including_sour)___healthy,1,11,6,10,0,3,27,0,1,1,0,0,0,1,0,9,9,2,4,2,4,3,0,0,21,0,0,1,1,1,1,1,4,0,0,0,0,4
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1,0,0,1,0,0,0,28,12,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Common_rust_,2,1,0,2,0,0,1,3,142,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Northern_Leaf_Blight,0,0,0,2,0,0,0,19,19,74,17,0,0,0,0,0,4,1,1,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0
Corn_(maize)___healthy,0,0,0,0,0,0,0,1,0,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,1,0,2,0,0,0,0,0,0,0,0,19,11,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,1,3,2,0,0,3
