class,precision,recall,f1-score,support
Apple___Apple_scab,0.6944444444444444,0.7978723404255319,0.7425742574257426,94
Apple___Black_rot,0.8901098901098901,0.8709677419354839,0.8804347826086957,93
Apple___Cedar_apple_rust,0.7,0.6829268292682927,0.691358024691358,41
Apple___healthy,0.8340080971659919,0.8340080971659919,0.8340080971659919,247
Blueberry___healthy,0.9137931034482759,0.9422222222222222,0.9277899343544858,225
Cherry_(including_sour)___Powdery_mildew,0.8988095238095238,0.9556962025316456,0.9263803680981595,158
Cherry_(including_sour)___healthy,0.8984375,0.8984375,0.8984375,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7777777777777778,0.7272727272727273,0.7516778523489933,77
Corn_(maize)___Common_rust_,0.9770114942528736,0.9497206703910615,0.9631728045325779,179
Corn_(maize)___Northern_Leaf_Blight,0.8367346938775511,0.831081081081081,0.8338983050847457,148
Corn_(maize)___healthy,0.8009259259259259,0.9942528735632183,0.8871794871794871,174
Grape___Black_rot,0.6862745098039216,0.6481481481481481,0.6666666666666666,54
Grape___Esca_(Black_Measles),0.9198113207547169,0.9375,0.9285714285714286,208
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9570552147239264,0.968944099378882,0.9629629629629629,161
Grape___healthy,0.9107142857142857,0.8095238095238095,0.8571428571428571,63
Orange___Haunglongbing_(Citrus_greening),0.9630996309963099,0.9479418886198547,0.9554606467358145,826
Peach___Bacterial_spot,0.9476744186046512,0.9449275362318841,0.9462989840348331,345
Peach___healthy,0.9642857142857143,1.0,0.9818181818181818,54
"Pepper,_bell___Bacterial_spot",0.7678571428571429,0.86,0.8113207547169812,150
"Pepper,_bell___healthy",0.8599033816425121,0.8018018018018018,0.8298368298368298,222
Potato___Early_blight,0.972972972972973,0.96,0.9664429530201343,150
Potato___Late_blight,0.7986577181208053,0.7933333333333333,0.7959866220735786,150
Potato___healthy,0.6071428571428571,0.7391304347826086,0.6666666666666666,23
Raspberry___healthy,0.8387096774193549,0.9285714285714286,0.8813559322033898,56
Soybean___healthy,0.9456662354463131,0.9580602883355177,0.9518229166666666,763
Squash___Powdery_mildew,0.9699248120300752,0.9381818181818182,0.9537892791127541,275
Strawberry___Leaf_scorch,0.9741935483870968,0.9096385542168675,0.940809968847352,166
Strawberry___healthy,0.967741935483871,0.8823529411764706,0.9230769230769231,68
Tomato___Bacterial_spot,0.9354838709677419,0.9090909090909091,0.9220985691573926,319
Tomato___Early_blight,0.6845637583892618,0.68,0.6822742474916388,150
Tomato___Late_blight,0.8174904942965779,0.7517482517482518,0.7832422586520947,286
Tomato___Leaf_Mold,0.832258064516129,0.9020979020979021,0.8657718120805369,143
Tomato___Septoria_leaf_spot,0.8404669260700389,0.8120300751879699,0.8260038240917782,266
Tomato___Spider_mites Two-spotted_spider_mite,0.868,0.8645418326693227,0.8662674650698603,251
Tomato___Target_Spot,0.8093023255813954,0.8246445497630331,0.8169014084507042,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9585427135678392,0.9490049751243781,0.95375,804
Tomato___Tomato_mosaic_virus,0.8909090909090909,0.875,0.8828828828828829,56
Tomato___healthy,0.9578059071729957,0.9497907949790795,0.9537815126050421,239
