,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,75,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Apple___Black_rot,0,81,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Apple___Cedar_apple_rust,2,0,28,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0
Apple___healthy,9,0,0,206,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,6,2,0,0,0,1,0,2,0,5,3,1,0,3
Blueberry___healthy,1,0,0,3,212,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0
Cherry_(including_sour)___Powdery_mildew,1,0,1,1,0,151,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry_(including_sour)___healthy,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0,0,0,0,0,0,0,56,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Common_rust_,1,0,0,0,0,0,0,0,170,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Northern_Leaf_Blight,0,0,0,0,0,0,0,16,1,123,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___healthy,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,0,0,0,0,0,0,0,0,0,0,0,35,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0
Grape___Esca_(Black_Measles),1,1,0,1,0,0,0,0,0,0,0,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,1,2,1,156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___healthy,0,1,0,0,0,0,1,0,0,0,0,0,0,1,51,0,0,0,0,2,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0
Orange___Haunglongbing_(Citrus_greening),1,0,1,1,3,5,1,0,0,0,2,1,0,0,0,783,1,0,3,1,0,1,1,0,0,0,0,0,2,0,2,0,0,3,1,13,0,0
Peach___Bacterial_spot,2,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,326,1,2,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Peach___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___Bacterial_spot",2,4,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,129,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0
"Pepper,_bell___healthy",2,3,1,0,0,1,3,0,0,0,0,2,0,0,1,4,0,0,5,178,0,0,1,0,12,0,1,0,3,0,0,1,1,0,3,0,0,0
Potato___Early_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Potato___Late_blight,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,119,2,0,1,0,1,0,1,5,6,1,1,0,3,0,0,0
Potato___healthy,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Raspberry___healthy,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Soybean___healthy,0,0,0,7,1,0,3,0,0,0,0,0,0,0,1,2,0,1,0,6,0,1,3,2,731,0,0,0,0,1,0,0,0,0,4,0,0,0
Squash___Powdery_mildew,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,1,0,2,0,0,0,0,0
Strawberry___Leaf_scorch,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,151,0,0,0,0,0,2,0,0,0,0,0
Strawberry___healthy,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0
Tomato___Bacterial_spot,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,5,2,0,0,290,6,3,0,3,0,0,1,0,0
Tomato___Early_blight,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,3,0,2,0,0,2,0,0,1,0,0,0,1,102,9,2,6,3,8,3,1,0
Tomato___Late_blight,0,0,1,1,2,2,1,0,0,2,3,0,0,0,0,7,1,0,4,3,0,12,0,0,0,1,0,0,3,17,215,0,8,1,0,1,0,1
Tomato___Leaf_Mold,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,129,2,0,1,1,0,0
Tomato___Septoria_leaf_spot,2,0,2,0,3,0,1,0,0,0,0,1,0,1,1,1,0,0,5,2,1,1,1,2,0,0,0,0,1,3,12,4,216,0,3,2,0,1
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,217,8,6,2,1
Tomato___Target_Spot,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,4,0,0,0,1,5,0,2,2,8,174,0,0,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,4,3,0,6,2,7,3,763,1,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,49,0
