class,precision,recall,f1-score,support
Apple___Apple_scab,0.9130434782608695,0.8936170212765957,0.9032258064516129,94
Apple___Black_rot,0.898989898989899,0.956989247311828,0.9270833333333334,93
Apple___Cedar_apple_rust,0.7560975609756098,0.7560975609756098,0.7560975609756098,41
Apple___healthy,0.9137254901960784,0.9433198380566802,0.9282868525896414,247
Blueberry___healthy,0.9692982456140351,0.9822222222222222,0.9757174392935982,225
Cherry_(including_sour)___Powdery_mildew,0.91875,0.930379746835443,0.9245283018867925,158
Cherry_(including_sour)___healthy,0.9398496240601504,0.9765625,0.9578544061302682,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8292682926829268,0.8831168831168831,0.8553459119496856,77
Corn_(maize)___Common_rust_,1.0,0.9888268156424581,0.9943820224719101,179
Corn_(maize)___Northern_Leaf_Blight,0.912751677852349,0.918918918918919,0.9158249158249159,148
Corn_(maize)___healthy,0.9720670391061452,1.0,0.9858356940509915,174
Grape___Black_rot,0.8870056497175142,0.8870056497175142,0.8870056497175142,177
Grape___Esca_(Black_Measles),0.9414634146341463,0.9323671497584541,0.9368932038834952,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.98125,0.9751552795031055,0.9781931464174455,161
Grape___healthy,0.9032258064516129,0.8888888888888888,0.896,63
Orange___Haunglongbing_(Citrus_greening),0.980722891566265,0.9854721549636803,0.9830917874396136,826
Peach___Bacterial_spot,0.9454022988505747,0.9536231884057971,0.9494949494949495,345
Peach___healthy,0.9245283018867925,0.9074074074074074,0.9158878504672897,54
"Pepper,_bell___Bacterial_spot",0.959731543624161,0.9533333333333334,0.9565217391304348,150
"Pepper,_bell___healthy",0.9493087557603687,0.9279279279279279,0.9384965831435079,222
Potato___Early_blight,0.9671052631578947,0.98,0.9735099337748344,150
Potato___Late_blight,0.9142857142857143,0.8533333333333334,0.8827586206896552,150
Potato___healthy,0.9090909090909091,0.8695652173913043,0.8888888888888888,23
Raspberry___healthy,0.8305084745762712,0.875,0.8521739130434782,56
Soybean___healthy,0.9828042328042328,0.9725130890052356,0.9776315789473684,764
Squash___Powdery_mildew,0.9888059701492538,0.9636363636363636,0.9760589318600368,275
Strawberry___Leaf_scorch,0.9757575757575757,0.9698795180722891,0.972809667673716,166
Strawberry___healthy,0.9444444444444444,1.0,0.9714285714285714,68
Tomato___Bacterial_spot,0.9365558912386707,0.9717868338557993,0.9538461538461539,319
Tomato___Early_blight,0.8843537414965986,0.8666666666666667,0.8754208754208754,150
Tomato___Late_blight,0.8885135135135135,0.9195804195804196,0.9037800687285223,286
Tomato___Leaf_Mold,0.9785714285714285,0.958041958041958,0.9681978798586572,143
Tomato___Septoria_leaf_spot,0.9581749049429658,0.9473684210526315,0.9527410207939508,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9516129032258065,0.9402390438247012,0.9458917835671342,251
Tomato___Target_Spot,0.9433962264150944,0.9478672985781991,0.9456264775413712,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9784537389100126,0.9601990049751243,0.9692404268675455,804
Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,56
Tomato___healthy,1.0,0.9832635983263598,0.9915611814345991,239
