,Apple___Apple_scab,Apple___Black_rot,Apple___Cedar_apple_rust,Apple___healthy,Blueberry___healthy,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___healthy,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___healthy,Grape___Black_rot,Grape___Esca_(Black_Measles),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___healthy,Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot,Peach___healthy,"Pepper,_bell___Bacterial_spot","Pepper,_bell___healthy",Potato___Early_blight,Potato___Late_blight,Potato___healthy,Raspberry___healthy,Soybean___healthy,Squash___Powdery_mildew,Strawberry___Leaf_scorch,Strawberry___healthy,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Apple___Apple_scab,84,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Apple___Black_rot,2,89,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple___Cedar_apple_rust,0,0,31,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apple___healthy,1,0,0,233,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,1,0,1,0,0
Blueberry___healthy,1,0,0,1,221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry_(including_sour)___Powdery_mildew,0,0,6,1,0,147,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cherry_(including_sour)___healthy,0,1,0,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0,0,0,0,0,0,0,68,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Common_rust_,0,0,0,0,0,0,0,0,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Corn_(maize)___Northern_Leaf_Blight,0,0,1,0,0,0,0,11,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_(maize)___healthy,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape___Black_rot,0,0,0,1,0,2,0,0,0,0,0,157,9,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Grape___Esca_(Black_Measles),0,0,0,0,0,0,0,0,0,0,0,7,193,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,0,1,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Grape___healthy,0,0,0,0,0,0,1,0,0,0,0,1,0,1,56,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange___Haunglongbing_(Citrus_greening),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,814,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0
Peach___Bacterial_spot,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,2,329,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
Peach___healthy,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___Bacterial_spot",0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pepper,_bell___healthy",0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,206,0,0,0,5,4,0,0,1,0,0,0,0,0,1,0,0,0,0
Potato___Early_blight,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potato___Late_blight,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4,0,1,0,2,128,0,0,0,0,0,0,2,3,4,0,0,2,0,0,0,0
Potato___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raspberry___healthy,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Soybean___healthy,0,1,0,1,2,0,3,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,2,2,743,1,0,0,1,0,0,0,1,0,0,0,0,0
Squash___Powdery_mildew,1,0,1,0,0,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,265,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry___Leaf_scorch,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161,1,0,0,0,0,1,0,0,0,0,0
Strawberry___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0
Tomato___Bacterial_spot,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,310,0,1,0,0,0,0,2,0,0
Tomato___Early_blight,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,3,130,5,0,2,0,1,2,0,0
Tomato___Late_blight,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,1,0,1,5,263,1,0,0,2,2,0,0
Tomato___Leaf_Mold,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,137,0,1,0,0,0,0
Tomato___Septoria_leaf_spot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,1,1,0,0,5,0,252,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,236,5,1,0,0
Tomato___Target_Spot,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,200,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,5,3,6,0,0,1,1,772,0,0
